4,Williams BMW,11,2,NC,DNF,0,1
10,Sauber Petronas,11,14,NC,DNF,0,1
2,Ferrari,11,3,NC,DNF,0,0
6,McLaren Mercedes,11,5,NC,DNF,0,0
12,Jordan Ford,11,18,NC,DNF,0,0
8,Renault,12,1,1,,10,70
6,McLaren Mercedes,12,7,2,,8,70
3,Williams BMW,12,4,3,,6,70
4,Williams BMW,12,2,4,,5,70
5,McLaren Mercedes,12,9,5,,4,70
14,Jaguar Cosworth,12,3,6,,3,70
7,Renault,12,6,7,,2,69
1,Ferrari,12,8,8,,1,69
9,Sauber Petronas,12,11,9,,0,69
17,BAR Honda,12,14,10,,0,69
21,Toyota,12,15,11,,0,68
19,Minardi Cosworth,12,18,12,,0,67
18,Minardi Cosworth,12,20,13,,0,66
10,Sauber Petronas,12,17,NC,DNF,0,47
15,Jaguar Cosworth,12,12,NC,DNF,0,42
12,Jordan Ford,12,19,NC,DNF,0,34
20,Toyota,12,10,NC,DNF,0,33
11,Jordan Ford,12,13,NC,DNF,0,28
2,Ferrari,12,5,NC,DNF,0,19
16,BAR Honda,12,16,NC,DNF,0,14
1,Ferrari,13,1,1,,10,53
3,Williams BMW,13,2,2,,8,53
2,Ferrari,13,3,3,,6,53
6,McLaren Mercedes,13,4,4,,5,53
4,Williams BMW,13,5,5,,4,53
16,BAR Honda,13,10,6,,3,52
14,Jaguar Cosworth,13,11,7,,2,52
8,Renault,13,20,8,,1,52
9,Sauber Petronas,13,16,9,,0,52
11,Jordan Ford,13,13,10,,0,52
12,Jordan Ford,13,18,11,,0,51
18,Minardi Cosworth,13,19,12,,0,51
10,Sauber Petronas,13,14,13,DNF,0,50
5,McLaren Mercedes,13,8,NC,DNF,0,45
20,Toyota,13,9,NC,DNF,0,35
19,Minardi Cosworth,13,17,NC,DNF,0,27
17,BAR Honda,13,7,NC,DNF,0,24
21,Toyota,13,12,NC,DNF,0,3
15,Jaguar Cosworth,13,15,NC,DNF,0,2
7,Renault,13,6,NC,DNF,0,0
1,Ferrari,14,7,1,,10,73
6,McLaren Mercedes,14,1,2,,8,73
10,Sauber Petronas,14,15,3,,6,73
7,Renault,14,10,4,,5,73
9,Sauber Petronas,14,13,5,,4,73
3,Williams BMW,14,4,6,,3,72
11,Jordan Ford,14,17,7,,2,72
15,Jaguar Cosworth,14,16,8,,1,71
21,Toyota,14,9,9,,0,71
19,Minardi Cosworth,14,19,10,,0,69
18,Minardi Cosworth,14,20,11,,0,69
16,BAR Honda,14,12,NC,DNF,0,63
12,Jordan Ford,14,18,NC,DNF,0,48
5,McLaren Mercedes,14,8,NC,DNF,0,45
8,Renault,14,6,NC,DNF,0,44
17,BAR Honda,14,11,NC,DNF,0,41
20,Toyota,14,3,NC,DNF,0,27
14,Jaguar Cosworth,14,14,NC,DNF,0,21
4,Williams BMW,14,5,NC,DNF,0,21
2,Ferrari,14,2,NC,DNF,0,2
2,Ferrari,15,1,1,,10,53
